Home_Predicted_Score,Home_Actual_Score,Away_Predicted_Score,Away_Actual_Score,Actual_Spread,Actual_Total,Predicted_Winner,Actual_Winner,Predicted_Spread,Predicted_Total
113.49,118,118.98,115,8.5,237.5,away,home,-5.490000000000009,232.47
103.29,96,116.93,106,7.0,212.0,away,away,-13.64,220.22000000000003
111.26,112,109.22,104,-7.0,218.5,home,home,2.0400000000000063,220.48000000000002
120.15,118,112.98,112,-10.0,236.5,home,home,7.170000000000002,233.13
114.43,105,119.43,141,2.5,234.5,away,away,-5.0,233.86
118.56,119,113.0,99,-3.5,238.0,home,home,5.560000000000002,231.56
117.89,111,117.5,123,,243.0,home,away,0.39000000000000057,235.39
113.65,116,113.03,107,7.5,226.5,home,home,0.6200000000000045,226.68
117.87,109,111.06,116,-5.0,214.5,home,away,6.810000000000002,228.93
122.91,107,115.33,117,1.5,228.5,home,away,7.579999999999998,238.24
117.46,127,114.08,113,-2.5,220.5,home,home,3.3799999999999955,231.54
114.78,128,104.19,103,-12.5,214.5,home,home,10.590000000000003,218.97
111.4,118,118.48,130,3.0,241.5,away,away,-7.079999999999998,229.88
119.95,128,116.17,117,-5.5,238.5,home,home,3.780000000000001,236.12
121.33,127,113.63,98,-9.5,223.5,home,home,7.700000000000003,234.95999999999998
120.98,110,115.75,114,-12.0,240.5,home,away,5.230000000000004,236.73000000000002
118.18,97,109.91,102,-3.0,229.5,home,away,8.27000000000001,228.09
117.67,109,115.01,114,-4.5,235.5,home,away,2.6599999999999966,232.68
114.58,99,113.35,111,1.5,223.0,home,away,1.230000000000004,227.93
119.14,110,117.69,119,-0.5,238.5,home,away,1.4500000000000028,236.82999999999998
110.17,118,108.8,100,-3.5,211.5,home,home,1.3700000000000045,218.97
121.94,139,109.12,77,-10.5,238.5,home,home,12.819999999999993,231.06
122.73,104,114.36,108,-10.5,227.0,home,away,8.370000000000005,237.09
116.25,95,111.39,105,-7.5,223.5,home,away,4.859999999999999,227.64
111.84,116,110.29,122,6.5,222.5,home,away,1.5499999999999972,222.13
115.02,112,111.02,100,-2.5,223.5,home,home,4.0,226.04
113.64,109,109.63,123,-2.5,235.5,home,away,4.010000000000005,223.26999999999998
112.98,115,101.69,92,-11.0,206.0,home,home,11.290000000000006,214.67000000000002
117.7,111,106.76,109,-13.5,230.5,home,home,10.939999999999998,224.46
105.69,123,105.46,135,-1.5,218.0,home,away,0.23000000000000398,211.14999999999998
125.77,136,117.61,113,-9.5,247.0,home,home,8.159999999999997,243.38
105.39,109,112.5,99,-2.5,205.5,away,home,-7.109999999999999,217.89
121.56,145,114.16,113,-15.0,226.5,home,home,7.400000000000006,235.72
119.72,92,117.49,127,3.5,233.0,home,away,2.230000000000004,237.20999999999998
114.32,113,111.1,116,-6.5,218.5,home,away,3.219999999999999,225.42
117.37,125,106.72,119,-11.5,217.5,home,home,10.650000000000006,224.09
117.11,118,113.24,103,-3.0,230.0,home,home,3.8700000000000045,230.35
124.3,133,112.09,129,-12.0,233.0,home,home,12.209999999999994,236.39
117.58,130,107.67,117,-6.5,228.5,home,home,9.909999999999997,225.25
122.84,127,108.02,134,-9.5,225.5,home,away,14.820000000000007,230.86
123.61,116,112.33,97,-10.5,228.5,home,home,11.280000000000001,235.94
116.7,105,110.55,100,-6.0,223.0,home,home,6.150000000000006,227.25
114.79,103,111.01,108,-6.5,225.5,home,away,3.780000000000001,225.8
124.48,121,111.43,111,-8.0,230.5,home,home,13.049999999999997,235.91000000000003
118.32,128,109.77,121,-13.5,231.0,home,home,8.549999999999997,228.08999999999997
115.52,105,110.98,102,-3.0,222.5,home,home,4.539999999999992,226.5
119.35,123,113.99,113,-2.5,244.5,home,home,5.359999999999999,233.33999999999997
108.11,124,112.86,142,9.0,238.0,away,away,-4.75,220.97
114.61,95,113.72,122,4.0,215.5,home,away,0.8900000000000006,228.32999999999998
104.74,95,113.91,103,8.0,221.0,away,away,-9.170000000000002,218.64999999999998
113.62,117,112.34,96,-9.5,226.5,home,home,1.2800000000000011,225.96
123.37,116,122.36,104,1.0,241.5,home,home,1.0100000000000051,245.73000000000002
118.54,120,107.39,106,-12.0,219.5,home,home,11.150000000000006,225.93
121.09,112,121.32,116,-1.5,236.5,away,away,-0.22999999999998977,242.41
112.66,125,116.94,120,4.5,236.0,away,home,-4.280000000000001,229.6
115.66,117,119.04,129,-6.0,239.0,away,away,-3.3800000000000097,234.7
123.55,116,112.58,93,-11.5,242.5,home,home,10.969999999999999,236.13
112.66,124,113.25,122,0.5,223.5,away,home,-0.5900000000000034,225.91
126.91,150,122.04,116,-2.5,262.0,home,home,4.86999999999999,248.95
113.63,108,111.5,109,-7.0,222.0,home,away,2.1299999999999955,225.13
115.04,126,106.56,107,-13.0,215.5,home,home,8.480000000000004,221.60000000000002
115.53,111,116.46,105,-13.0,223.5,away,home,-0.9299999999999926,231.99
124.27,125,120.0,114,-8.5,235.0,home,home,4.269999999999996,244.26999999999998
115.94,132,102.76,127,-14.5,220.5,home,home,13.179999999999993,218.7
113.13,119,114.12,116,10.5,238.0,away,home,-0.9900000000000091,227.25
115.69,117,117.44,124,12.5,223.5,away,away,-1.75,233.13
113.96,112,119.84,123,10.5,245.0,away,away,-5.88000000000001,233.8
107.81,94,109.55,96,-2.0,215.5,away,away,-1.7399999999999949,217.36
104.18,101,108.16,104,5.5,214.0,away,away,-3.9799999999999898,212.34
122.1,119,117.62,127,7.0,236.5,home,away,4.47999999999999,239.72
115.31,131,103.94,91,-18.5,219.5,home,home,11.370000000000005,219.25
113.35,105,119.19,92,-1.0,225.5,away,home,-5.840000000000003,232.54
121.64,124,121.51,117,3.5,239.5,home,home,0.12999999999999545,243.15
117.76,121,112.8,93,-2.5,231.5,home,home,4.960000000000008,230.56
119.61,123,115.42,122,4.5,229.5,home,home,4.189999999999998,235.03
102.11,121,110.46,106,3.0,208.0,away,home,-8.349999999999994,212.57
114.39,128,113.97,103,2.5,228.0,home,home,0.4200000000000017,228.36
108.54,105,116.15,115,8.0,238.5,away,away,-7.609999999999999,224.69
117.23,144,121.02,149,4.5,246.5,away,away,-3.789999999999992,238.25
115.69,106,112.9,103,-3.0,228.5,home,home,2.789999999999992,228.59
115.79,117,116.46,109,3.0,231.0,away,home,-0.6699999999999875,232.25
115.62,147,112.25,97,-14.5,238.5,home,home,3.3700000000000045,227.87
113.42,111,110.84,117,3.5,217.0,home,away,2.5799999999999983,224.26
112.23,80,114.89,93,-3.5,213.5,away,away,-2.6599999999999966,227.12
117.5,114,106.16,115,-8.5,227.5,home,away,11.340000000000003,223.66
106.0,130,109.6,126,8.5,213.5,away,home,-3.5999999999999943,215.6
113.87,130,114.44,110,-15.5,232.5,away,home,-0.5699999999999932,228.31
104.91,97,116.2,119,6.5,217.5,away,away,-11.290000000000006,221.11
108.06,101,118.33,110,8.5,225.0,away,away,-10.269999999999996,226.39
122.14,127,119.35,151,4.0,252.5,home,away,2.7900000000000063,241.49
124.25,120,115.8,133,-13.5,239.0,home,away,8.450000000000003,240.05
114.37,114,101.75,105,-7.0,219.0,home,home,12.620000000000005,216.12
115.98,118,104.27,110,-13.0,225.5,home,home,11.710000000000008,220.25
113.03,125,115.11,113,-5.5,230.0,away,home,-2.0799999999999983,228.14
116.79,135,102.72,127,-8.5,235.5,home,home,14.070000000000007,219.51
122.88,100,116.09,112,-5.0,237.5,home,away,6.789999999999992,238.97
110.68,122,108.25,115,-2.5,219.5,home,home,2.430000000000007,218.93
109.69,104,101.89,107,-3.0,208.0,home,away,7.799999999999997,211.57999999999998
123.6,120,116.02,118,-5.0,228.5,home,home,7.579999999999998,239.62
115.27,121,106.93,113,-12.5,223.0,home,home,8.33999999999999,222.2
114.61,101,107.62,90,-11.5,219.5,home,home,6.989999999999995,222.23000000000002
117.25,112,121.75,108,7.0,237.0,away,home,-4.5,239.0
123.57,114,112.99,95,-6.5,229.5,home,home,10.579999999999998,236.56
127.54,129,120.99,144,-4.5,237.0,home,away,6.550000000000011,248.53
119.09,109,119.41,128,3.5,226.0,away,away,-0.3199999999999932,238.5
111.4,121,110.84,109,4.5,215.5,home,home,0.5600000000000023,222.24
121.52,102,121.2,118,1.5,242.5,home,away,0.3199999999999932,242.72
115.93,136,107.81,130,-4.0,222.0,home,home,8.120000000000005,223.74
118.28,109,118.51,104,7.5,230.5,away,home,-0.23000000000000398,236.79000000000002
113.94,127,110.23,111,-10.0,224.5,home,home,3.7099999999999937,224.17000000000002
114.9,95,107.14,106,-2.0,220.5,home,away,7.760000000000005,222.04000000000002
119.5,117,115.05,109,-10.5,239.5,home,home,4.450000000000003,234.55
109.87,95,121.18,107,13.5,227.5,away,away,-11.310000000000002,231.05
114.72,127,104.52,106,-13.0,220.5,home,home,10.200000000000003,219.24
117.33,135,114.1,95,-2.0,236.5,home,home,3.230000000000004,231.43
112.3,115,120.67,126,6.5,235.5,away,away,-8.370000000000005,232.97
116.19,117,107.03,127,2.0,218.0,home,away,9.159999999999997,223.22
116.66,92,105.51,122,-3.5,211.5,home,away,11.149999999999991,222.17000000000002
103.36,99,111.55,126,2.5,215.5,away,away,-8.189999999999998,214.91
120.41,113,118.03,112,1.5,242.5,home,home,2.3799999999999955,238.44
112.14,122,110.98,115,-3.5,214.5,home,home,1.1599999999999966,223.12
113.03,112,116.44,93,1.0,242.5,away,home,-3.4099999999999966,229.47
114.95,99,115.05,122,-6.0,235.5,away,away,-0.09999999999999432,230.0
108.32,124,117.36,136,4.5,225.0,away,away,-9.040000000000006,225.68
119.6,115,113.36,104,-7.5,223.5,home,home,6.239999999999995,232.95999999999998
119.41,113,114.25,126,-12.5,225.5,home,away,5.159999999999997,233.66
110.68,120,111.47,136,3.5,232.5,away,away,-0.789999999999992,222.15
118.6,107,109.09,100,-8.5,226.0,home,home,9.509999999999991,227.69
110.84,88,111.7,100,3.5,217.0,away,away,-0.8599999999999994,222.54000000000002
117.19,118,112.34,109,-3.0,221.5,home,home,4.849999999999994,229.53
110.85,103,118.07,116,12.0,216.0,away,away,-7.219999999999999,228.92
111.7,119,110.62,128,8.5,224.5,home,away,1.0799999999999983,222.32
114.58,130,104.13,121,-18.0,223.0,home,home,10.450000000000003,218.70999999999998
113.19,120,113.68,114,-2.0,230.5,away,home,-0.4900000000000091,226.87
112.92,112,112.06,109,-6.0,232.5,home,home,0.8599999999999994,224.98000000000002
119.91,144,122.6,145,-1.5,245.5,away,away,-2.6899999999999977,242.51
114.36,93,111.13,110,-9.5,221.0,home,away,3.230000000000004,225.49
113.67,107,121.62,123,6.5,230.0,away,away,-7.950000000000003,235.29000000000002
126.09,129,121.13,118,-14.0,241.5,home,home,4.960000000000008,247.22
116.12,139,111.96,132,-1.5,248.5,home,home,4.160000000000011,228.07999999999998
109.54,100,114.2,102,12.0,221.5,away,away,-4.659999999999997,223.74
122.5,121,114.86,123,-7.5,244.5,home,away,7.640000000000001,237.36
116.81,127,110.61,117,-3.5,219.5,home,home,6.200000000000003,227.42000000000002
114.73,111,113.94,108,-4.5,226.0,home,home,0.7900000000000063,228.67000000000002
116.0,101,111.76,107,-2.5,224.5,home,away,4.239999999999995,227.76
110.58,129,121.27,115,4.0,235.5,away,home,-10.689999999999998,231.85
120.78,128,125.11,136,11.5,244.5,away,away,-4.329999999999998,245.89
117.48,107,110.62,86,-13.0,215.0,home,home,6.859999999999999,228.10000000000002
119.68,128,120.06,110,-6.0,243.5,away,home,-0.37999999999999545,239.74
118.74,101,114.36,119,2.0,231.0,home,away,4.3799999999999955,233.1
107.85,105,118.98,114,13.5,234.5,away,away,-11.13000000000001,226.82999999999998
112.54,123,121.55,140,14.0,240.0,away,away,-9.009999999999991,234.09
119.39,134,104.55,120,-13.0,235.5,home,home,14.840000000000003,223.94
121.17,108,115.0,105,-9.5,223.0,home,home,6.170000000000002,236.17000000000002
118.47,127,115.55,126,-2.0,235.0,home,home,2.9200000000000017,234.01999999999998
109.86,103,114.72,113,9.5,222.5,away,away,-4.859999999999999,224.57999999999998
116.62,109,113.49,124,5.5,223.5,home,away,3.1300000000000097,230.11
107.23,93,107.06,105,12.5,205.5,home,away,0.1700000000000017,214.29000000000002
121.69,104,111.24,94,-2.0,226.0,home,home,10.450000000000003,232.93
114.62,123,114.61,122,16.0,228.5,home,home,0.010000000000005116,229.23000000000002
106.01,113,110.26,104,-1.0,206.5,away,home,-4.25,216.27
119.12,119,107.97,107,-16.0,232.5,home,home,11.150000000000006,227.09
117.19,147,107.73,119,-10.5,227.5,home,home,9.459999999999994,224.92000000000002
119.35,125,118.2,119,-17.5,233.0,home,home,1.1499999999999915,237.55
112.26,120,115.52,121,7.5,221.0,away,away,-3.259999999999991,227.78
111.93,106,111.55,100,-9.5,221.5,home,home,0.38000000000000966,223.48000000000002
114.28,101,111.26,103,3.0,221.0,home,away,3.019999999999996,225.54000000000002
105.68,99,114.23,110,3.5,223.0,away,away,-8.549999999999997,219.91000000000003
112.27,97,105.82,123,-7.5,224.0,home,away,6.450000000000003,218.08999999999997
115.48,124,117.43,121,-2.5,227.5,away,home,-1.9500000000000028,232.91000000000003
106.87,106,121.48,114,11.5,234.5,away,away,-14.61,228.35000000000002
107.42,112,115.03,118,8.5,216.5,away,away,-7.609999999999999,222.45
120.29,129,117.92,115,-12.0,248.0,home,home,2.3700000000000045,238.21
119.73,133,107.17,112,-13.0,227.5,home,home,12.560000000000002,226.9
110.63,110,116.87,118,8.0,227.0,away,away,-6.240000000000009,227.5
114.27,109,106.62,110,-15.5,225.0,home,away,7.6499999999999915,220.89
108.48,113,115.04,98,2.5,227.5,away,home,-6.560000000000002,223.52
118.12,121,118.18,115,-3.5,229.5,away,home,-0.060000000000002274,236.3
112.1,105,108.09,127,10.5,220.0,home,away,4.009999999999991,220.19
115.89,115,110.52,91,-11.5,220.0,home,home,5.3700000000000045,226.41
115.78,122,118.99,133,4.5,248.5,away,away,-3.2099999999999937,234.76999999999998
108.41,117,118.43,113,13.0,225.5,away,home,-10.02000000000001,226.84
115.61,122,109.86,84,2.5,222.5,home,home,5.75,225.47
117.87,134,118.4,122,4.5,241.5,away,home,-0.5300000000000011,236.27
125.18,112,113.11,104,-12.0,247.5,home,home,12.070000000000007,238.29000000000002
112.43,120,107.57,108,-14.5,219.5,home,home,4.860000000000014,220.0
112.16,108,114.04,120,3.5,226.0,away,away,-1.8800000000000097,226.2
116.07,99,113.32,121,3.5,224.0,home,away,2.75,229.39
119.23,130,115.08,104,-8.0,239.5,home,home,4.150000000000006,234.31
123.17,118,120.36,133,-2.5,237.5,home,away,2.8100000000000023,243.53
112.89,104,99.1,91,-8.5,217.5,home,home,13.790000000000006,211.99
112.43,100,106.81,107,-1.5,210.5,home,away,5.6200000000000045,219.24
112.1,107,106.59,123,9.5,222.5,home,away,5.509999999999991,218.69
118.5,120,112.12,134,2.0,235.5,home,away,6.3799999999999955,230.62
121.73,127,118.36,90,4.5,247.5,home,home,3.3700000000000045,240.09
118.59,126,114.87,106,-8.0,231.0,home,home,3.719999999999999,233.46
113.26,112,115.18,121,2.5,224.0,away,away,-1.9200000000000017,228.44
110.53,134,112.06,124,-18.5,227.5,away,home,-1.5300000000000011,222.59
107.04,121,100.39,84,-3.5,202.5,home,home,6.650000000000006,207.43
114.97,106,114.4,114,6.5,220.0,home,away,0.5699999999999932,229.37
122.55,120,119.31,126,5.5,234.5,home,away,3.239999999999995,241.86
116.28,133,107.07,123,-7.5,220.5,home,home,9.210000000000008,223.35
